gene_id,log2FoldChange,pvalue,padj,Comparison
YNL045W,-2.51245,7.790601e-30,1.899037e-27,A_vs_E
YNL052W,-1.35436,0.003318772,0.009464609,A_vs_E
YNL066W,-1.786192,8.427436e-07,6.687083e-06,A_vs_E
YNL070W,-1.374764,0.002968321,0.00855674,A_vs_E
YNL090W,-1.010003,0.001130705,0.003761199,A_vs_E
YNL092W,-1.133297,0.001159762,0.003838995,A_vs_E
YNL098C,-1.116579,0.000775383,0.002717185,A_vs_E
YNL101W,-1.630915,8.113595e-09,1.056501e-07,A_vs_E
YNL104C,-1.129407,0.0004710523,0.001754641,A_vs_E
YNL111C,-1.632076,0.0003289684,0.001290047,A_vs_E
YNL115C,-1.453722,0.0001031008,0.0004586104,A_vs_E
YNL116W,-1.53884,1.319014e-06,9.862665e-06,A_vs_E
YNL122C,-2.267142,2.846485e-07,2.528641e-06,A_vs_E
YNL130C,-1.234182,1.932305e-06,1.375638e-05,A_vs_E
YNL142W,-1.284431,0.0009626393,0.003271792,A_vs_E
YNL146W,-1.028343,0.02291862,0.04996998,A_vs_E
YNL148C,-1.039166,0.0160184,0.03680849,A_vs_E
YNL158W,-1.210515,0.0008214991,0.002860596,A_vs_E
YNL159C,-1.444031,3.484232e-07,3.037613e-06,A_vs_E
YNL160W,-2.343302,2.573624e-07,2.320069e-06,A_vs_E
YNL184C,-2.57321,5.920172e-07,4.8622e-06,A_vs_E
YNL190W,-1.534407,0.001489443,0.004737299,A_vs_E
YNL193W,-6.965445,2.290533e-98,4.6528370000000003e-95,A_vs_E
YNL194C,-1.547211,0.0006058342,0.002188473,A_vs_E
YNL214W,-1.947117,4.95558e-08,5.326156e-07,A_vs_E
YNL222W,-1.919178,6.401721e-11,1.345244e-09,A_vs_E
YNL223W,-1.097631,3.949644e-06,2.61621e-05,A_vs_E
YNL231C,-1.036419,0.003346717,0.009534779,A_vs_E
YNL234W,-1.019119,0.0001611739,0.0006750471,A_vs_E
YNL238W,-1.287977,2.022672e-07,1.873277e-06,A_vs_E
YNL259C,-2.196102,2.097186e-06,1.477486e-05,A_vs_E
YNL268W,-1.128313,5.826771e-10,1.007858e-08,A_vs_E
YNL277W,-1.797769,7.084318e-07,5.718124e-06,A_vs_E
YNL280C,-1.892302,9.249998e-15,4.303014e-13,A_vs_E
YNL284C-B,-2.639269,4.536667e-09,6.283283e-08,A_vs_E
YNL286W,-1.034546,0.000120243,0.0005231694,A_vs_E
YNL301C,-1.68988,1.880691e-08,2.251657e-07,A_vs_E
YNL311C,-1.239147,9.359123e-06,5.553505e-05,A_vs_E
YNL318C,-3.144434,1.627109e-15,8.77487e-14,A_vs_E
YNL320W,-1.331884,0.0004544758,0.001703306,A_vs_E
YNL334C,-1.293379,0.008091306,0.02061389,A_vs_E
YNL336W,-1.119889,6.634343e-13,2.162015e-11,A_vs_E
YNR002C,-2.152333,3.710799e-08,4.089261e-07,A_vs_E
YNR004W,-1.641822,0.0007813921,0.002736669,A_vs_E
YNR014W,-1.101162,0.00126948,0.004128182,A_vs_E
YNR019W,-1.009355,0.0004671495,0.001741167,A_vs_E
YNR032C-A,-1.167545,0.001354072,0.004365987,A_vs_E
YNR034W-A,-3.701264,1.824248e-08,2.20138e-07,A_vs_E
YNR045W,-1.091758,8.671701e-05,0.000395549,A_vs_E
YNR060W,-1.32008,0.0001140282,0.0004999192,A_vs_E
YNR061C,-1.280888,0.0005142181,0.001894066,A_vs_E
YNR067C,-1.381335,0.0002753128,0.001105241,A_vs_E
YNR070W,-1.634716,4.908491e-08,5.29422e-07,A_vs_E
YNR074C,-2.314083,2.247727e-10,4.240758e-09,A_vs_E
YNR075W,-5.859195,8.846021e-41,5.390764999999999e-38,A_vs_E
YOL013C,-1.110329,9.928731e-06,5.840317e-05,A_vs_E
YOL014W,-1.205724,0.001696458,0.005312547,A_vs_E
YOL016C,-1.193987,5.067553e-05,0.0002452873,A_vs_E
YOL020W,-1.219462,0.000352954,0.001370001,A_vs_E
YOL030W,-1.617607,1.017306e-07,1.026401e-06,A_vs_E
YOL048C,-1.293648,0.001343588,0.004336772,A_vs_E
YOL049W,-1.968517,7.620048e-14,2.902606e-12,A_vs_E
YOL059W,-2.447811,1.393594e-07,1.349047e-06,A_vs_E
YOL060C,-2.028215,1.826411e-11,4.498764e-10,A_vs_E
YOL062C,-1.140571,3.955671e-05,0.0001974908,A_vs_E
YOL072W,-1.504077,1.630932e-05,8.957514e-05,A_vs_E
YOL082W,-1.395925,1.448751e-07,1.394737e-06,A_vs_E
YOL086W-A,-2.061511,1.273216e-07,1.249433e-06,A_vs_E
YOL096C,-3.691196,2.5151389999999998e-20,2.7370100000000003e-18,A_vs_E
YOL105C,-2.4477,5.968089e-17,4.132901e-15,A_vs_E
YOL107W,-1.007254,6.305793e-06,3.917176e-05,A_vs_E
YOL117W,-1.19756,5.973666e-06,3.764584e-05,A_vs_E
YOL119C,-2.453493,2.537577e-14,1.066482e-12,A_vs_E
YOL122C,-1.286912,1.846344e-06,1.320613e-05,A_vs_E
YOL126C,-1.218632,2.881677e-05,0.0001490742,A_vs_E
